1a9fad14-f7ae-4695-8f66-6fa7cd589adb, [14:03:04:427:50584427:427510000, Cliente 5]
5f2bf2a8-e3c5-4f1e-a1b6-adff65bcdab7, [14:03:04:427:50584427:427510000, Cliente 5]
1828b14b-b417-4725-9fc1-40f85b9a5cc6, [14:03:04:427:50584427:427510000, Cliente 5]
4d83f539-4166-46af-9e2f-6d05e215d83c, [14:03:04:427:50584427:427510000, Cliente 5]
16133d80-9e56-45df-95f7-fec7db51db11, [14:03:04:427:50584427:427510000, Cliente 5]
4dced6c5-e6c5-475f-8be5-3010e02776ee, [14:03:04:427:50584427:427510000, Cliente 5]
657fc804-f4ba-4c54-99db-2d385aab6005, [14:03:04:427:50584427:427510000, Cliente 5]
82f4dfaf-2d70-4c5e-b69d-2a82a4e6a9b7, [14:03:04:427:50584427:427510000, Cliente 5]
142e89cf-b174-49e1-9043-688a32ea2478, [14:03:04:427:50584427:427510000, Cliente 5]
b3e4aba7-ebc9-41f3-98cd-59ed45680583, [14:03:04:427:50584427:427510000, Cliente 5]
4d07c57f-bc70-4764-9fb3-eaff07039a14, [14:03:04:427:50584427:427510000, Cliente 5]
76bef5a7-b0d4-482f-9db3-1f1a93c4caac, [14:03:04:427:50584427:427510000, Cliente 5]
